cluster atom distance log(1/ds) delta_sa es
cluster30.pqr 20_N1 8.325 0.292 1.201 1.64068
cluster27.pqr 4_C8 6.553 0.557 1.402 1.66374
cluster27.pqr 6_C9 7.652 0.557 1.344 1.73885
cluster30.pqr 4_C8 11.428 0.292 1.402 2.07189
cluster29.pqr 20_N1 3.587 3.97 1.201 2.27017
cluster25.pqr 20_N1 13.697 0.671 1.201 2.29153
cluster26.pqr 6_C9 2.695 4.088 1.344 2.3025
cluster3.pqr 14_N14 3.686 4.021 1.277 2.34115
cluster26.pqr 4_C8 2.796 4.088 1.402 2.34731
cluster25.pqr 4_C8 13.403 0.671 1.402 2.38309
cluster3.pqr 10_C11 4.175 4.021 1.502 2.52514
cluster15.pqr 4_C8 14.846 0.744 1.402 2.54925
cluster15.pqr 6_C9 15.866 0.744 1.344 2.61656
cluster21.pqr 8_C10 7.955 3.68 1.32 2.69164
cluster7.pqr 20_N1 7.977 3.922 1.201 2.69477
cluster21.pqr 6_C9 7.934 3.68 1.344 2.70416
cluster7.pqr 14_N14 7.624 3.922 1.277 2.70513
cluster5.pqr 8_C10 9.192 3.345 1.32 2.71476
cluster29.pqr 14_N14 7.619 3.97 1.277 2.7191
cluster8.pqr 20_N1 8.073 4.272 1.201 2.80928
cluster5.pqr 10_C11 9.24 3.345 1.502 2.82877
cluster22.pqr 6_C9 10.829 3.384 1.344 2.90476
cluster22.pqr 4_C8 10.807 3.384 1.402 2.93724
cluster24.pqr 4_C8 14.294 2.25 1.402 2.94582
cluster28.pqr 20_N1 11.178 3.698 1.201 2.94784
cluster24.pqr 6_C9 15.037 2.25 1.344 2.98539
cluster8.pqr 14_N14 9.682 4.272 1.277 3.01583
cluster6.pqr 14_N14 12.684 3.401 1.277 3.05495
cluster19.pqr 4_C8 14.072 3.118 1.402 3.1839
cluster4.pqr 8_C10 11.304 4.229 1.32 3.1911
cluster19.pqr 6_C9 14.589 3.118 1.344 3.20084
cluster20.pqr 6_C9 18.057 1.981 1.344 3.20675
cluster23.pqr 4_C8 11.855 3.96 1.402 3.21505
cluster23.pqr 6_C9 12.263 3.96 1.344 3.22114
cluster20.pqr 4_C8 17.855 1.981 1.402 3.22124
cluster18.pqr 6_C9 14.46 3.23 1.344 3.22185
cluster4.pqr 6_C9 11.569 4.229 1.344 3.2322
cluster18.pqr 4_C8 14.556 3.23 1.402 3.2661
cluster6.pqr 10_C11 13.686 3.401 1.502 3.29027
cluster10.pqr 20_N1 18.188 2.779 1.201 3.37286
cluster28.pqr 14_N14 15.021 3.698 1.277 3.37776
cluster17.pqr 4_C8 19.778 1.864 1.402 3.37845
cluster17.pqr 6_C9 20.636 1.864 1.344 3.42953
cluster10.pqr 4_C8 20.478 2.779 1.402 3.72282
cluster14.pqr 4_C8 19.388 3.499 1.402 3.82979
cluster14.pqr 6_C9 20.347 3.499 1.344 3.89094
cluster11.pqr 4_C8 25.553 1.882 1.402 3.96143
cluster11.pqr 6_C9 25.915 1.882 1.344 3.96291
cluster16.pqr 20_N1 22.242 3.749 1.201 4.06926
cluster16.pqr 4_C8 22.65 3.749 1.402 4.23093
cluster9.pqr 20_N1 22.813 4.779 1.201 4.43557
cluster2.pqr 6_C9 25.659 4.171 1.344 4.62398
cluster13.pqr 4_C8 30.078 2.588 1.402 4.62566
cluster13.pqr 6_C9 30.657 2.588 1.344 4.64886
cluster2.pqr 4_C8 25.96 4.171 1.402 4.6888
cluster9.pqr 4_C8 26.324 4.779 1.402 4.90763
cluster12.pqr 4_C8 31.137 4.179 1.402 5.2087
cluster12.pqr 6_C9 31.612 4.179 1.344 5.2215
cluster1.pqr 20_N1 35.247 3.407 1.201 5.26724
cluster1.pqr 4_C8 34.783 3.407 1.402 5.34174
