cluster atom 0.1*distance 0.3*log(1/ds) 0.6*delta_sa es
cluster9.pqr 20_N1 0.927 0.173 0.721 1.82087
cluster16.pqr 6_C9 0.228 1.025 0.807 2.05886
cluster16.pqr 4_C8 0.26 1.025 0.841 2.12589
cluster15.pqr 20_N1 0.537 1.004 0.721 2.26175
cluster9.pqr 4_C8 1.274 0.173 0.841 2.28843
cluster4.pqr 14_N14 0.651 0.876 0.766 2.29296
cluster14.pqr 4_C8 0.641 0.837 0.841 2.32019
cluster14.pqr 6_C9 0.747 0.837 0.807 2.39112
cluster15.pqr 4_C8 0.608 1.004 0.841 2.45357
cluster10.pqr 6_C9 0.673 1.019 0.807 2.49826
cluster4.pqr 10_C11 0.748 0.876 0.901 2.52446
cluster10.pqr 4_C8 0.686 1.019 0.841 2.54598
cluster25.pqr 4_C8 1.722 0.069 0.841 2.63284
cluster11.pqr 6_C9 0.773 1.055 0.807 2.63525
cluster11.pqr 4_C8 0.747 1.055 0.841 2.64373
cluster25.pqr 6_C9 1.812 0.069 0.807 2.68785
cluster13.pqr 20_N1 1.207 0.82 0.721 2.74694
cluster5.pqr 20_N1 0.864 1.203 0.721 2.78697
cluster5.pqr 14_N14 0.823 1.203 0.766 2.79224
cluster8.pqr 6_C9 0.841 1.15 0.807 2.79788
cluster8.pqr 8_C10 0.858 1.15 0.792 2.80022
cluster13.pqr 4_C8 1.168 0.82 0.841 2.82937
cluster24.pqr 20_N1 2.007 0.11 0.721 2.83789
cluster12.pqr 20_N1 1.176 0.96 0.721 2.85662
cluster24.pqr 4_C8 1.96 0.11 0.841 2.91148
cluster12.pqr 4_C8 1.113 0.96 0.841 2.91428
cluster6.pqr 20_N1 0.959 1.315 0.721 2.99426
cluster6.pqr 14_N14 1.084 1.315 0.766 3.16521
cluster1.pqr 14_N14 1.186 1.257 0.766 3.21008
cluster21.pqr 6_C9 1.374 1.112 0.807 3.2924
cluster23.pqr 6_C9 1.63 0.867 0.807 3.30342
cluster23.pqr 4_C8 1.617 0.867 0.841 3.32482
cluster21.pqr 4_C8 1.39 1.112 0.841 3.34359
cluster1.pqr 10_C11 1.194 1.257 0.901 3.35227
cluster2.pqr 20_N1 1.579 1.163 0.721 3.46217
cluster22.pqr 4_C8 1.447 1.188 0.841 3.47606
cluster22.pqr 6_C9 1.505 1.188 0.807 3.49947
cluster2.pqr 14_N14 1.624 1.163 0.766 3.55294
cluster3.pqr 20_N1 1.816 1.15 0.721 3.68596
cluster3.pqr 14_N14 1.901 1.15 0.766 3.81665
cluster18.pqr 4_C8 2.495 0.717 0.841 4.05295
cluster18.pqr 6_C9 2.566 0.717 0.807 4.08947
cluster20.pqr 6_C9 2.544 0.833 0.807 4.18337
cluster20.pqr 4_C8 2.51 0.833 0.841 4.18367
cluster17.pqr 6_C9 2.225 1.207 0.807 4.23802
cluster19.pqr 6_C9 2.387 1.098 0.807 4.29148
cluster17.pqr 4_C8 2.261 1.207 0.841 4.30906
cluster19.pqr 4_C8 2.382 1.098 0.841 4.3216
cluster7.pqr 6_C9 3.511 1.145 0.807 5.46289
cluster7.pqr 4_C8 3.477 1.145 0.841 5.46327
