,index,trial,generated_id,smiles,reward,depth,elapsed_time,is_through_filter,SINCHO_MW,SINCHO_LogP,canonical_smiles,MW,LogP,donor,acceptor,Choice_idx
0,0,4,9612,NC(=O)c1nnc2cc(ccc2c1N)S(=O)(=O)C1CN(C21CCC2)C1CCCCC1,1.0,47,153.9,1,241.11364984800005,1.7132999999999998,NC(=O)c1nnc2cc(S(=O)(=O)C3CN(C4CCCCC4)C34CCC4)ccc2c1N,429.18346072400004,2.0241999999999996,4,8,0
1,1,2,7254,NC(=O)c1nnc2cc(ccc2c1N)S(=O)(=O)C1CN([C@H](CCC)C)[C@@H]1CC,1.0,46,124.7,1,217.11364984800005,1.4251,CCC[C@H](C)N1CC(S(=O)(=O)c2ccc3c(N)c(C(N)=O)nnc3c2)[C@H]1CC,405.18346072400004,1.736,4,8,1
2,2,1,69,NC(=O)c1nnc2cc(ccc2c1N)S(=O)(=O)c1ccc(Cl)cc1,1.0,25,1.5,1,173.95422801600003,1.4862000000000002,NC(=O)c1nnc2cc(S(=O)(=O)c3ccc(Cl)cc3)ccc2c1N,362.024038892,1.7971,4,7,2
3,3,1,6058,NC(=O)c1nnc2cc(ccc2c1N)S(=O)(=O)C1CN([C@H](CC(C)(F)F)C1)C,1.0,46,114.5,1,225.06350609600003,0.8917000000000003,CN1CC(S(=O)(=O)c2ccc3c(N)c(C(N)=O)nnc3c2)C[C@H]1CC(C)(F)F,413.13331697200005,1.2026000000000001,4,8,3
4,4,1,6646,NC(=O)c1nnc2cc(ccc2c1N)S(=O)(=O)Cc1c(C)cc(cc1)C,1.0,43,125.4,1,182.04015056,1.5907400000000005,Cc1ccc(CS(=O)(=O)c2ccc3c(N)c(C(N)=O)nnc3c2)c(C)c1,370.109961436,1.9016400000000002,4,7,4
5,5,2,5822,NC(=O)c1nnc2cc(ccc2c1N)S(=O)(=O)C1CN([C@H](C)C1)CC(C)C,1.0,44,104.2,1,203.09799978400005,0.8925000000000002,CC(C)CN1CC(S(=O)(=O)c2ccc3c(N)c(C(N)=O)nnc3c2)C[C@H]1C,391.16781066000004,1.2034,4,8,5
6,6,4,20,NC(=O)c1nnc2cc(ccc2c1N)c1cnc(cc1)CN1CCN(C)CC1,1.0,24,0.6,1,189.12659748000007,0.8093999999999998,CN1CCN(Cc2ccc(-c3ccc4c(N)c(C(N)=O)nnc4c3)cn2)CC1,377.19640835600006,1.1202999999999996,4,8,6
7,7,2,8639,NC(=O)c1nnc2cc(ccc2c1N)S(=O)(=O)N1CCC(F)(C1)Cl,1.0,43,151.9,1,184.97135530000008,0.2990000000000004,NC(=O)c1nnc2cc(S(=O)(=O)N3CCC(F)(Cl)C3)ccc2c1N,373.04116617600005,0.6099000000000002,4,8,7
8,8,1,3868,NC(=O)c1nnc2cc(ccc2c1N)S(=O)(=O)C1CN([C@H](C(C)C)C)C1,1.0,42,75.9,1,189.08234972000005,0.5024000000000003,CC(C)[C@H](C)N1CC(S(=O)(=O)c2ccc3c(N)c(C(N)=O)nnc3c2)C1,377.15216059600004,0.8133000000000001,4,8,8
9,9,2,176,NC(=O)c1nnc2cc(ccc2c1N)S(=O)(=O)N(C)C1CCCCC1,1.0,34,3.3,1,175.06669965600005,0.9532,CN(C1CCCCC1)S(=O)(=O)c1ccc2c(N)c(C(N)=O)nnc2c1,363.13651053200005,1.2640999999999998,4,8,9
10,10,1,5205,NC(=O)c1nnc2cc(ccc2c1N)S(=O)(=O)C1CN([C@H](C)C)c1CC,1.0,44,100.7,1,189.08234972000005,0.6449000000000004,CCC1C(S(=O)(=O)c2ccc3c(N)c(C(N)=O)nnc3c2)CN1C(C)C,377.15216059600004,0.9558000000000002,4,8,10
11,11,1,3691,NC(=O)c1nnc2cc(ccc2c1N)S(=O)(=O)C1CN([C@H](CC1C)C)CC(F)(F)F,1.0,43,72.8,1,257.069734348,1.4349000000000005,CC1C[C@H](C)N(CC(F)(F)F)CC1S(=O)(=O)c1ccc2c(N)c(C(N)=O)nnc2c1,445.139545224,1.7458,4,8,11
12,12,2,1589,NC(=O)c1nnc2cc(ccc2c1N)S(=O)(=O)CC(C)(C)c1ccccc1,1.0,35,27.1,1,196.055800624,1.7515000000000005,CC(C)(CS(=O)(=O)c1ccc2c(N)c(C(N)=O)nnc2c1)c1ccccc1,384.1256115,2.0624000000000002,4,7,12
13,13,4,7283,NC(=O)c1nnc2cc(ccc2c1N)S(=O)(=O)N(C)C1CCCCCC1,1.0,39,122.1,1,189.08234972000005,1.3432999999999995,CN(C1CCCCCC1)S(=O)(=O)c1ccc2c(N)c(C(N)=O)nnc2c1,377.15216059600004,1.6541999999999997,4,8,13
14,14,1,6163,NC(=O)c1nnc2cc(ccc2c1N)S(=O)(=O)C1CN([C@H](C1C)C1CC1)F,1.0,45,116.5,1,205.05727784400003,0.7571000000000002,CC1C(S(=O)(=O)c2ccc3c(N)c(C(N)=O)nnc3c2)CN(F)[C@H]1C1CC1,393.12708872,1.068,4,8,14
15,15,1,565,NC(=O)c1nnc2cc(ccc2c1N)S(=O)(=O)Cc1n(c(C)cc1C)C,1.0,39,10.7,1,185.05104959200008,0.9292399999999996,Cc1cc(C)n(C)c1CS(=O)(=O)c1ccc2c(N)c(C(N)=O)nnc2c1,373.12086046800005,1.2401399999999996,4,8,15
16,16,2,803,NC(=O)c1nnc2cc(ccc2c1N)S(=O)(=O)N(CCCC)CCC,1.0,38,12.0,1,177.08234972000005,1.2007999999999996,CCCCN(CCC)S(=O)(=O)c1ccc2c(N)c(C(N)=O)nnc2c1,365.15216059600004,1.5116999999999996,4,8,16
