,ROMol,AAScore,trajectory_num,rank_num,lead_num,conf_num,num_heavyatoms,AAScore_LE
1711,<rdkit.Chem.rdchem.Mol object at 0x14b231a01120>,-10.131888124169617,trajectory_04,rank_01,lead_0159,confid_18,26,-0.3896880047757545
1421,<rdkit.Chem.rdchem.Mol object at 0x14b231a900b0>,-10.121489510005778,trajectory_04,rank_01,lead_0099,confid_1,27,-0.3748699818520659
1707,<rdkit.Chem.rdchem.Mol object at 0x14b2319fbf20>,-9.92845630461123,trajectory_04,rank_01,lead_0360,confid_0,27,-0.36772060387448996
1550,<rdkit.Chem.rdchem.Mol object at 0x14b2319e6970>,-9.826267560172523,trajectory_04,rank_01,lead_0400,confid_8,27,-0.3639358355619453
1852,<rdkit.Chem.rdchem.Mol object at 0x14b231a10f90>,-9.818921441122823,trajectory_04,rank_01,lead_0364,confid_6,27,-0.3636637570786231
1400,<rdkit.Chem.rdchem.Mol object at 0x14b231a906d0>,-9.65281500068306,trajectory_04,rank_01,lead_0265,confid_19,27,-0.35751166669196516
1600,<rdkit.Chem.rdchem.Mol object at 0x14b2319ebf90>,-9.569195833515316,trajectory_04,rank_01,lead_0315,confid_12,27,-0.35441466050056725
1663,<rdkit.Chem.rdchem.Mol object at 0x14b2319f6ba0>,-9.499763307834948,trajectory_04,rank_01,lead_0130,confid_18,30,-0.3166587769278316
1486,<rdkit.Chem.rdchem.Mol object at 0x14b231a9bcf0>,-9.423223556549862,trajectory_04,rank_01,lead_0292,confid_2,27,-0.3490082798722171
1687,<rdkit.Chem.rdchem.Mol object at 0x14b2319fb660>,-9.363871388956587,trajectory_04,rank_01,lead_0474,confid_8,29,-0.32289211686057195
1810,<rdkit.Chem.rdchem.Mol object at 0x14b231a0ccf0>,-9.34779021820014,trajectory_04,rank_01,lead_0397,confid_8,27,-0.34621445252593114
1498,<rdkit.Chem.rdchem.Mol object at 0x14b2319e1270>,-9.339323578155424,trajectory_04,rank_01,lead_0473,confid_11,27,-0.34590087326501573
1781,<rdkit.Chem.rdchem.Mol object at 0x14b231a070b0>,-9.302800280366164,trajectory_04,rank_01,lead_0270,confid_4,28,-0.33224286715593443
1855,<rdkit.Chem.rdchem.Mol object at 0x14b231a16120>,-9.280867866117008,trajectory_04,rank_01,lead_0104,confid_8,28,-0.331459566647036
1667,<rdkit.Chem.rdchem.Mol object at 0x14b2319f6d60>,-9.255403009926203,trajectory_04,rank_01,lead_0021,confid_12,29,-0.3191518279284898
1603,<rdkit.Chem.rdchem.Mol object at 0x14b2319f0120>,-9.25303156899775,trajectory_04,rank_01,lead_0488,confid_6,27,-0.3427048729258426
1671,<rdkit.Chem.rdchem.Mol object at 0x14b2319f6f20>,-9.246495694179588,trajectory_04,rank_01,lead_0192,confid_4,27,-0.3424628034881329
1568,<rdkit.Chem.rdchem.Mol object at 0x14b2319eb190>,-9.169879921536117,trajectory_04,rank_01,lead_0323,confid_10,27,-0.3396251822791154
1542,<rdkit.Chem.rdchem.Mol object at 0x14b2319e65f0>,-9.16013417693678,trajectory_04,rank_01,lead_0191,confid_13,28,-0.32714764917631356
1405,<rdkit.Chem.rdchem.Mol object at 0x14b231a90900>,-9.11286945183866,trajectory_04,rank_01,lead_0200,confid_16,29,-0.314236877649609
1549,<rdkit.Chem.rdchem.Mol object at 0x14b2319e6900>,-9.03429728823676,trajectory_04,rank_01,lead_0280,confid_16,30,-0.3011432429412253
1572,<rdkit.Chem.rdchem.Mol object at 0x14b2319eb350>,-9.025918726536071,trajectory_04,rank_01,lead_0183,confid_13,26,-0.3471507202513874
1737,<rdkit.Chem.rdchem.Mol object at 0x14b231a01c80>,-9.02362388672464,trajectory_04,rank_01,lead_0369,confid_18,27,-0.3342082921009126
1845,<rdkit.Chem.rdchem.Mol object at 0x14b231a10c80>,-8.988420666906958,trajectory_04,rank_01,lead_0477,confid_13,27,-0.3329044691447021
1638,<rdkit.Chem.rdchem.Mol object at 0x14b2319f6040>,-8.980444309663795,trajectory_04,rank_01,lead_0091,confid_8,28,-0.3207301539165641
1821,<rdkit.Chem.rdchem.Mol object at 0x14b231a10200>,-8.920638122978643,trajectory_04,rank_01,lead_0218,confid_0,29,-0.30760821113719455
1454,<rdkit.Chem.rdchem.Mol object at 0x14b231a95eb0>,-8.904039131155953,trajectory_04,rank_01,lead_0298,confid_10,27,-0.3297792270798501
1533,<rdkit.Chem.rdchem.Mol object at 0x14b2319e6200>,-8.903745387057652,trajectory_04,rank_01,lead_0285,confid_4,28,-0.31799090668063046
1477,<rdkit.Chem.rdchem.Mol object at 0x14b231a9b900>,-8.861256253830447,trajectory_04,rank_01,lead_0239,confid_17,28,-0.3164734376368017
1851,<rdkit.Chem.rdchem.Mol object at 0x14b231a10f20>,-8.858811703771682,trajectory_04,rank_01,lead_0213,confid_0,31,-0.2857681194765059
1413,<rdkit.Chem.rdchem.Mol object at 0x14b231a90c80>,-8.853651827968598,trajectory_04,rank_01,lead_0460,confid_12,29,-0.30529833889546887
1412,<rdkit.Chem.rdchem.Mol object at 0x14b231a90c10>,-8.84146223719756,trajectory_04,rank_01,lead_0407,confid_17,27,-0.3274615643406503
1703,<rdkit.Chem.rdchem.Mol object at 0x14b2319fbd60>,-8.830748465872185,trajectory_04,rank_01,lead_0335,confid_19,28,-0.31538387378114946
